
132: E:\catalog_data\imagews\training\Land_ISS009-E-28702.jpg : 1.463
133: E:\catalog_data\imagews\training\Night_ISS026-E-22035.jpg : 1.475
134: E:\catalog_data\imagews\training\Land_43ISS009-E-8704.jpg : 1.551
135: E:\catalog_data\imagews\training\Cloud_ISS009-E-13885.jpg : 1.606
136: E:\catalog_data\imagews\training\Land_41ISS009-E-8702.jpg : 1.622
137: E:\catalog_data\imagews\training\Land_44ISS009-E-8705.jpg : 1.631
138: E:\catalog_data\imagews\training\Land_ISS009-E-28707.jpg : 1.645
139: E:\catalog_data\imagews\training\Land_ISS009-E-19870.jpg : 1.666
140: E:\catalog_data\imagews\training\Land_39ISS009-E-8700.jpg : 1.667
141: E:\catalog_data\imagews\training\Land_40ISS009-E-8701.jpg : 1.668
142: E:\catalog_data\imagews\training\Land_ISS009-E-27870.jpg : 1.669
143: E:\catalog_data\imagews\training\Land_ISS009-E-28705.jpg : 1.684
144: E:\catalog_data\imagews\training\Land_ISS009-E-28708.jpg : 1.707
145: E:\catalog_data\imagews\training\Land_ISS009-E-28706.jpg : 1.766
146: E:\catalog_data\imagews\training\Cloud_ISS009-E-13886.jpg : 1.773
147: E:\catalog_data\imagews\training\Land_42ISS009-E-8703.jpg : 1.775
148: E:\catalog_data\imagews\training\Land_ISS009-E-28704.jpg : 1.791
149: E:\catalog_data\imagews\training\Land_ISS009-E-28709.jpg : 1.798
150: E:\catalog_data\imagews\training\Earthlimb_ISS009-E-12144.jpg : 1.860
151: E:\catalog_data\imagews\training\Land_ISS009-E-13870.jpg : 1.861
152: E:\catalog_data\imagews\training\Land_45ISS009-E-8706.jpg : 1.933
153: E:\catalog_data\imagews\training\Cloud_ISS009-E-13887.jpg : 1.940
154: E:\catalog_data\imagews\training\Land_ISS009-E-28870.jpg : 1.947
155: E:\catalog_data\imagews\training\Earthlimb_ISS009-E-12143.jpg : 2.011
156: E:\catalog_data\imagews\training\Earthlimb_ISS009-E-12142.jpg : 2.038
157: E:\catalog_data\imagews\training\Earthlimb_ISS009-E-12145.jpg : 2.058
158: E:\catalog_data\imagews\training\Land_ISS009-E-18870.jpg : 2.159
